traceroute to api.mixpanel.com (130.211.34.183), 64 hops max, 52 byte packets
 1 192.168.1.1  1.261 ms * *
 2 192.168.88.1  1.153 ms  1.178 ms  1.200 ms
 3 10.0.255.255  2.033 ms  2.066 ms  2.217 ms
 4 194.33.189.55  2.271 ms  2.189 ms  2.096 ms
 5 194.33.189.27  2.144 ms  2.222 ms  2.380 ms
 6 108.170.248.138  2.333 ms  2.532 ms  2.555 ms
 7 72.14.239.111  2.946 ms  3.159 ms  3.098 ms
 8 72.14.234.181  18.007 ms  17.943 ms  17.875 ms
 9 142.250.59.202  28.271 ms  28.244 ms  28.217 ms
10 74.125.242.241  28.140 ms  28.169 ms  28.285 ms
11 216.239.35.183  29.793 ms  29.726 ms  29.670 ms
12 130.211.34.183  28.802 ms  29.022 ms  28.839 ms
