traceroute to app.adjust.net.in (185.151.204.33), 64 hops max, 52 byte packets
 1 192.168.1.1  1.076 ms * *
 2 192.168.88.1  2.201 ms  2.267 ms  2.337 ms
 3 10.0.255.255  2.933 ms  2.936 ms  2.979 ms
 4 194.33.189.15  4.169 ms  4.394 ms  4.363 ms
 5 87.245.247.158  4.352 ms  4.296 ms  4.335 ms
 6 87.245.234.2  36.480 ms  36.426 ms  36.411 ms
 7 154.14.40.233  32.565 ms  32.593 ms  32.534 ms
 8 213.200.117.218  36.703 ms  36.726 ms  36.659 ms
 9 77.67.81.78  38.573 ms  38.598 ms  38.532 ms
10 185.151.205.9  37.177 ms  37.262 ms  37.194 ms
11 185.151.205.31  37.256 ms  37.209 ms  37.282 ms
12 185.151.204.33  40.657 ms  41.070 ms  41.033 ms
