traceroute to app.adjust.net.in (185.151.204.30), 64 hops max, 52 byte packets
 192.168.1.1  0.980 ms * *
 192.168.88.1  1.644 ms  1.724 ms  3.306 ms
 10.0.255.255  2.657 ms  2.831 ms  2.924 ms
 194.33.189.15  3.328 ms  3.314 ms  3.250 ms
 87.245.247.158  3.221 ms  3.267 ms  3.241 ms
 87.245.232.244  32.214 ms  32.265 ms  32.228 ms
 154.14.40.233  41.336 ms  41.395 ms  41.401 ms
 213.200.117.218  38.064 ms  38.037 ms  38.064 ms
 77.67.81.78  37.422 ms  37.414 ms  37.329 ms
 185.151.205.9  38.409 ms  38.438 ms  38.405 ms
 185.151.207.245  38.444 ms  38.392 ms  38.430 ms
 185.151.204.30  38.783 ms  38.973 ms  39.065 ms
