traceroute to archive.org (207.241.224.2), 64 hops max, 52 byte packets
 1 192.168.1.1  0.774 ms * *
 2 192.168.88.1  1.574 ms  1.705 ms  1.815 ms
 3 10.0.255.255  2.932 ms  2.909 ms  2.838 ms
 4 194.33.189.15  7.425 ms  7.680 ms  7.699 ms
 5 87.245.247.158  2.951 ms  2.942 ms  2.928 ms
 6 87.245.232.217  15.746 ms  15.755 ms  15.726 ms
 7 193.188.137.175  21.166 ms  21.187 ms  21.159 ms
 8 184.104.194.94  21.133 ms  21.190 ms  21.255 ms
 9 72.52.92.205  21.065 ms  21.177 ms  21.138 ms
10 * * *
11 72.52.92.113  107.663 ms  107.630 ms  107.566 ms
12 184.104.197.54  107.472 ms  107.532 ms  107.706 ms
13 184.105.81.61  197.779 ms  197.801 ms  197.855 ms
14 184.105.81.86  174.577 ms  177.103 ms  177.079 ms
15 64.71.160.46  173.372 ms  173.404 ms  173.382 ms
16 207.241.224.2  175.892 ms  175.902 ms  175.909 ms
