traceroute to archive.org (207.241.224.2), 64 hops max, 52 byte packets
 192.168.1.1  1.041 ms * *
 192.168.88.1  1.919 ms  1.922 ms  1.899 ms
 10.0.255.255  3.391 ms  3.423 ms  3.422 ms
 194.33.189.15  3.532 ms  3.561 ms  3.708 ms
 87.245.247.158  4.750 ms  4.743 ms  4.755 ms
 87.245.232.217  16.499 ms  16.472 ms  16.443 ms
 193.188.137.175  21.656 ms  21.641 ms  21.686 ms
 184.104.194.94  21.809 ms  21.735 ms  21.834 ms
 72.52.92.205  107.758 ms  107.799 ms  107.756 ms
 184.105.65.5  39.632 ms  40.814 ms *
 72.52.92.113  108.520 ms  108.436 ms  108.378 ms
 184.104.197.54  109.706 ms  109.672 ms  109.900 ms
 184.105.81.61  172.685 ms  172.686 ms  172.651 ms
 184.105.81.86  175.861 ms  176.272 ms  176.598 ms
 64.71.160.46  173.775 ms  173.772 ms  173.740 ms
 207.241.224.2  174.564 ms  174.786 ms  174.764 ms
