traceroute to csi.gstatic.com (142.250.187.195), 64 hops max, 52 byte packets
 1 192.168.1.1  1.113 ms * *
 2 192.168.88.1  1.962 ms  2.080 ms  2.130 ms
 3 10.0.255.255  2.886 ms  3.016 ms  2.960 ms
 4 194.33.189.55  4.775 ms  4.792 ms  4.840 ms
 5 194.33.189.27  4.876 ms  4.832 ms  4.897 ms
 6 108.170.248.138  4.851 ms  4.852 ms  4.854 ms
 7 142.250.227.43  16.623 ms  16.836 ms  16.793 ms
 8 216.239.56.80  32.642 ms  32.611 ms  32.555 ms
 9 209.85.142.96  38.803 ms  38.687 ms  38.604 ms
10 209.85.142.167  43.915 ms  43.869 ms  43.922 ms
11 216.239.58.2  44.007 ms  44.083 ms  44.236 ms
12 108.170.246.161  42.983 ms  43.115 ms  43.211 ms
13 142.251.54.35  42.976 ms  43.723 ms  44.709 ms
14 142.250.187.195  43.822 ms  43.786 ms  44.436 ms
