traceroute to csi.gstatic.com (172.217.13.195), 64 hops max, 52 byte packets
 192.168.1.1  0.916 ms * *
 192.168.88.1  1.784 ms  1.858 ms  1.878 ms
 10.0.255.255  3.011 ms  3.336 ms  3.346 ms
 194.33.189.55  3.399 ms  3.529 ms  3.572 ms
 194.33.189.27  3.497 ms  5.100 ms  5.193 ms
 108.170.248.155  5.168 ms  5.204 ms  5.213 ms
 142.250.227.43  17.590 ms  17.597 ms  17.578 ms
 216.239.56.80  32.801 ms  32.817 ms  32.783 ms
 209.85.142.96  38.404 ms  38.396 ms  38.364 ms
 209.85.142.167  44.174 ms  44.172 ms  44.518 ms
 172.253.72.147  112.920 ms  112.992 ms  112.984 ms
 142.250.61.193  120.192 ms  120.341 ms  121.036 ms
 108.170.251.33  120.974 ms  120.938 ms  120.860 ms
 108.170.231.67  123.182 ms  123.178 ms  123.537 ms
 172.217.13.195  119.461 ms  119.868 ms  119.922 ms
