traceroute to mask-h2.icloud.com (172.224.38.9), 64 hops max, 52 byte packets
 192.168.1.1  1.127 ms * *
 192.168.88.1  1.856 ms  2.081 ms  2.177 ms
 10.0.255.255  4.388 ms  4.400 ms  4.351 ms
 194.33.189.15  2.120 ms  2.144 ms  2.203 ms
 87.245.247.158  2.724 ms  2.862 ms  2.850 ms
 87.245.234.2  32.177 ms  32.071 ms  32.113 ms
 62.115.178.56  31.029 ms  30.998 ms  30.875 ms
 62.115.114.90  59.087 ms  59.059 ms  59.044 ms
 62.115.138.23  60.333 ms  60.337 ms  60.284 ms
 62.115.114.113  58.186 ms  58.172 ms  58.126 ms
 213.248.79.66  66.574 ms  66.467 ms  66.559 ms
 172.224.38.9  58.387 ms  58.588 ms  58.553 ms
