traceroute to mask.apple-dns.net (172.224.38.134), 64 hops max, 52 byte packets
 1 192.168.1.1  1.107 ms * *
 2 192.168.88.1  2.441 ms  2.418 ms  2.434 ms
 3 10.0.255.255  9.348 ms  9.389 ms  9.326 ms
 4 194.33.189.15  2.024 ms  2.881 ms  2.846 ms
 5 87.245.247.158  3.792 ms  4.062 ms  4.293 ms
 6 87.245.234.18  60.314 ms  60.276 ms  60.316 ms
 7 * * 62.115.178.56  58.769 ms
 8 62.115.114.88  66.026 ms  66.183 ms  66.179 ms
 9 62.115.137.203  64.129 ms  64.134 ms  64.062 ms
10 62.115.114.111  65.752 ms  65.689 ms  65.629 ms
11 213.248.79.66  71.512 ms  71.444 ms  71.392 ms
12 172.224.38.134  65.113 ms  65.565 ms  65.549 ms
