traceroute to notify.bugsnag.com (35.186.205.6), 64 hops max, 52 byte packets
 1 192.168.1.1  1.233 ms  1.117 ms *
 2 192.168.88.1  1.797 ms  2.035 ms  1.992 ms
 3 10.0.255.255  2.353 ms  2.405 ms  2.546 ms
 4 194.33.189.55  2.928 ms  3.043 ms  3.059 ms
 5 194.33.189.27  23.740 ms  23.708 ms  23.639 ms
 6 108.170.248.155  2.795 ms  2.914 ms  2.970 ms
 7 216.239.46.121  16.589 ms  16.474 ms  16.371 ms
 8 209.85.253.128  29.228 ms  29.239 ms  29.114 ms
 9 74.125.242.225  29.678 ms  29.630 ms  29.754 ms
10 142.251.228.27  28.475 ms  29.008 ms  28.877 ms
11 35.186.205.6  28.106 ms  28.250 ms  28.191 ms
