traceroute to www.facebook.com (157.240.236.35), 64 hops max, 52 byte packets
 192.168.1.1  1.118 ms  0.893 ms *
 192.168.88.1  1.489 ms  1.563 ms  1.509 ms
 10.0.255.255  2.079 ms  2.730 ms  2.735 ms
 194.33.189.15  3.536 ms  3.402 ms  3.370 ms
 87.245.247.158  3.012 ms  3.018 ms  3.111 ms
 87.245.232.244  31.463 ms  31.469 ms  31.574 ms
 157.240.79.156  31.705 ms  31.680 ms  32.831 ms
 31.13.24.224  31.665 ms  31.676 ms  31.740 ms
 129.134.103.69  30.549 ms  30.602 ms  30.557 ms
 157.240.39.35  31.881 ms  32.283 ms  32.240 ms
 157.240.236.35  30.211 ms  30.305 ms  30.282 ms
