traceroute to yahoo.com (74.6.231.21), 64 hops max, 52 byte packets
 1 192.168.1.1  1.222 ms * *
 2 192.168.88.1  1.401 ms  1.490 ms  1.705 ms
 3 10.0.255.255  2.846 ms  2.874 ms  2.782 ms
 4 194.33.189.15  3.891 ms  3.702 ms  3.829 ms
 5 87.245.247.158  2.157 ms  2.220 ms  2.178 ms
 6 87.245.233.39  28.637 ms  28.571 ms  28.514 ms
 7 193.178.185.111  33.614 ms  33.608 ms  33.560 ms
 8 209.191.112.25  42.666 ms  42.652 ms  42.610 ms
 9 209.191.64.24  122.605 ms  122.629 ms  122.597 ms
10 209.191.64.43  151.828 ms  151.784 ms  151.854 ms
11 209.191.64.212  154.255 ms  154.208 ms  154.215 ms
12 216.115.105.181  150.069 ms  150.064 ms  149.968 ms
13 98.138.97.75  149.371 ms  149.386 ms  149.477 ms
14 98.138.51.4  145.050 ms  145.017 ms  144.977 ms
15 * 98.138.97.156  144.762 ms  144.893 ms
16 74.6.231.21  144.988 ms  141.640 ms  144.936 ms
