traceroute to yahoo.com (74.6.143.25), 64 hops max, 52 byte packets
 192.168.1.1  1.037 ms * *
 192.168.88.1  1.422 ms  1.950 ms  2.018 ms
 10.0.255.255  2.575 ms  2.598 ms  2.652 ms
 194.33.189.15  2.938 ms  2.952 ms  2.934 ms
 87.245.247.158  3.147 ms  3.080 ms  3.133 ms
 87.245.233.113  116.087 ms  116.072 ms  116.041 ms
 198.32.160.121  112.401 ms  112.465 ms  112.432 ms
 209.191.64.165  116.418 ms  116.393 ms  116.440 ms
 74.6.227.37  121.761 ms  121.926 ms  121.892 ms
 74.6.122.57  115.389 ms  115.393 ms  115.340 ms
 74.6.123.237  119.240 ms  119.190 ms  119.143 ms
 74.6.98.139  123.306 ms 74.6.98.138  115.286 ms  115.284 ms
 74.6.143.25  119.508 ms  119.717 ms  119.695 ms
